INSTANCE	Status MtMS	Cost SOC MtMS	Time SOC MtMS	Status ASP Base E	Cost SOC Status ASP Base E	Time SOC ASP Base E	Status Base F	Cost SOC Base F	Time SOC Base F	Status CBS	Cost SOC CBS	Time SOC CBS	Status BCP	Cost SOC BCP	Time SOC BCP
Instance-20-10-48-8_enc1	0	650	4,5	0	650	19,2935564517975	0	650	12,6271166801453	0	650	6,03876	0	650	0,47
Instance-20-10-48-9_enc1	0	743	12,82	1	749	600	0	743	27,3470463752747	3	-1	600	0	743	1,15
Instance-20-10-50-0_enc1	0	687	5,56	0	687	70,7341997623444	0	687	18,6233334541321	3	-1	600	0	687	2,31
Instance-20-10-50-1_enc1	0	651	2,51	0	651	12,1572687625885	0	651	8,61586117744446	0	651	2,9694	0	651	0,16
Instance-20-10-50-2_enc1	0	768	10,86	0	768	66,4939250946045	0	768	16,4628648757935	0	768	102,474	0	768	2,28
Instance-20-10-50-3_enc1	0	682	4,35	0	682	43,6558830738068	0	682	12,3644776344299	0	682	71,3135	0	682	0,31
Instance-20-10-50-4_enc1	0	822	297,63	1	827	600	0	822	43,0234117507935	3	-1	600	0	822	18,92
Instance-20-10-50-5_enc1	0	724	7,18	0	724	59,3955893516541	0	724	15,1123349666595	3	-1	600	0	724	0,55
Instance-20-10-50-6_enc1	0	748	7,51	0	748	43,825464963913	0	748	16,8124284744263	3	-1	600	0	748	2,21
Instance-20-10-50-7_enc1	0	550	26,34	0	550	446,438858270645	0	550	27,1912155151367	3	-1	600	0	550	2,53
Instance-20-10-50-8_enc1	0	691	7,19	0	691	30,6889500617981	0	691	17,7563464641571	0	691	326,73	0	691	2,58
Instance-20-10-50-9_enc1	0	732	18,27	0	732	437,674561023712	0	732	28,1054368019104	3	-1	600	0	732	1,04
Instance-20-10-52-0_enc1	0	719	17,01	1	729	600	0	719	33,3813893795013	3	-1	600	0	719	6,64
Instance-20-10-52-1_enc1	0	734	4,93	0	734	36,759129524231	0	734	13,1599910259247	3	-1	600	0	734	1,2
Instance-20-10-52-2_enc1	0	712	47,9	0	712	312,528289794922	0	712	28,9256718158722	3	-1	600	0	712	1,9
Instance-20-10-52-3_enc1	0	699	6,41	0	699	91,5557854175568	0	699	17,0506618022919	0	699	140,61	0	699	4,86
Instance-20-10-52-4_enc1	0	753	2,45	0	753	14,4524235725403	0	753	7,81360936164856	0	753	161,801	0	753	0,57
Instance-20-10-52-5_enc1	0	623	5,2	0	623	19,1451201438904	0	623	13,5742878913879	0	623	83,8147	0	623	0,42
Instance-20-10-52-6_enc1	0	707	6,5	0	707	237,856669664383	0	707	16,624648809433	3	-1	600	0	707	0,87
Instance-20-10-52-7_enc1	0	779	5,73	0	779	36,3676223754883	0	779	14,6274721622467	3	-1	600	0	779	0,84
Instance-20-10-52-8_enc1	0	731	5,46	0	731	37,6687023639679	0	731	13,410014629364	3	-1	600	0	731	3,01
Instance-20-10-52-9_enc1	0	697	8,19	0	697	47,630851984024	0	697	15,2762455940247	0	697	401,803	0	697	0,56
Instance-20-10-54-0_enc1	0	810	13,4	0	810	47,610949754715	0	810	16,0552389621735	3	-1	600	0	810	1
